,acc,loss,val_acc,val_loss
0,0.8472037037037037,0.47664532132612336,0.9763333333333334,0.08654601040358345
1,0.9357037037037037,0.213157656101165,0.983,0.06142833815949659
2,0.9463333333333334,0.17693205428454611,0.9841666666666666,0.05140433062085261
3,0.953,0.15664081517772543,0.9846666666666667,0.05252943488225962
4,0.955925925925926,0.1464443840958454,0.987,0.046565779622799404
5,0.9589074074074074,0.14052218353348198,0.9875,0.044206204931096484
6,0.9598518518518518,0.1328890294774815,0.9888333333333333,0.03973672332117955
7,0.961462962962963,0.1294153632287074,0.9883333333333333,0.041425523771128306
8,0.9632222222222222,0.12308811957816834,0.9888333333333333,0.04231223741701494
9,0.9637407407407408,0.11925184166928132,0.9895,0.03610543658824948
10,0.9656481481481481,0.11546662509275807,0.9898333333333333,0.0382731248602892
11,0.9657037037037037,0.11465713942678714,0.9898333333333333,0.03695815301958161
12,0.9669074074074074,0.11119469283114153,0.99,0.03802665253530722
13,0.9667962962962963,0.11113969423511513,0.989,0.03782150374469347
14,0.9672222222222222,0.1093947743749315,0.9898333333333333,0.03850785448898872
